N,mergeRandom_10,mergeReverse_10,mergeAlmost_10,mergeRandom_50,mergeReverse_50,mergeAlmost_50
500,228,196,194,195,172,173
600,308,229,225,271,228,224
700,277,224,220,267,223,219
800,383,301,312,376,321,280
900,356,285,291,339,281,287
1000,332,270,277,333,267,275
1100,359,298,302,355,295,300
1200,352,285,288,344,288,267
1300,357,284,285,347,265,264
1400,350,285,287,345,284,284
1500,425,340,358,389,319,330
1600,433,351,348,409,332,346
1700,435,332,338,395,321,336
1800,418,335,338,398,322,336
1900,417,330,339,406,332,352
2000,424,334,338,404,326,336
2100,426,352,359,413,346,345
2200,436,353,354,432,343,353
2300,443,354,371,440,357,367
2400,466,370,393,458,369,378
2500,477,384,421,476,383,392
2600,497,399,409,493,399,408
2700,509,430,418,509,416,418
2800,529,440,450,540,445,444
2900,608,479,491,613,478,490
3000,754,617,594,653,522,541
3100,757,608,691,777,582,592
3200,712,576,596,708,617,642
3300,731,588,614,730,589,613
3400,830,601,698,729,601,642
3500,750,603,649,783,649,625
3600,785,613,642,779,612,666
3700,785,633,657,806,646,655
3800,805,649,706,883,648,676
3900,828,663,690,832,673,693
4000,872,679,713,863,677,698
4100,866,766,722,868,694,730
4200,889,724,736,1082,744,750
4300,914,734,788,909,734,820
4400,931,777,791,987,759,833
4500,960,763,791,948,765,787
4600,1010,855,805,968,809,804
4700,997,844,851,1095,793,822
4800,1004,819,852,1060,877,833
4900,1039,830,868,1049,892,896
5000,1057,840,868,1044,844,925
5100,1065,854,901,1387,4557,2511
5200,3384,1790,977,2036,3003,936
5300,1106,960,1052,1114,895,942
5400,1123,940,995,1260,919,938
5500,1147,926,991,1344,959,977
5600,1166,964,980,1251,1026,956
5700,1225,977,1009,1303,1039,1005
5800,1269,1046,1056,1352,1021,1057
5900,1323,1092,1105,1416,1057,1115
6000,1377,1121,1171,1449,1110,1158
6100,1460,1166,1273,1435,1144,1224
6200,1499,1209,1270,1483,1182,1239
6300,1501,1188,1306,1543,1184,1265
6400,1513,1215,1273,1506,1238,1295
6500,1556,1230,1282,1538,1240,1279
6600,1559,1247,1304,1556,1269,1555
6700,1764,1592,1442,1628,1407,1383
6800,1762,1352,1337,1599,1288,1336
6900,1614,1326,1352,1619,1291,1431
7000,1646,1308,1372,1712,1334,1372
7100,1655,1367,1398,1658,1343,1385
7200,1700,1373,1407,1698,1346,1420
7300,1699,1383,1427,1692,1387,1423
7400,1726,1368,1466,1747,1372,1443
7500,1739,1434,1460,1734,1403,1460
7600,1785,1410,1491,1767,1432,1504
7700,1784,1434,1494,1783,1421,1489
7800,1829,1436,1526,1804,1441,1510
7900,1854,1462,1524,1863,1463,1551
8000,1865,1475,1543,1869,1465,1542
8100,1888,1534,1613,1889,1558,1615
8200,1926,1531,1586,1890,1529,1575
8300,1945,1521,1607,1920,1551,1594
8400,1956,1559,1610,1946,1539,1622
8500,1959,1592,1624,1966,1558,1632
8600,1983,1605,1682,1979,1583,1653
8700,2004,1591,1850,2348,1733,1711
8800,2249,1740,1815,2038,1656,1723
8900,2239,1722,1698,2079,1740,1805
9000,2088,1723,1823,2131,1650,1749
9100,2265,1742,1729,2139,1775,1790
9200,2159,1702,1796,2221,1690,1803
9300,2148,1779,1764,2209,1783,1782
9400,2159,1769,1796,2159,1759,1794
9500,2199,1745,1825,2177,1745,1825
9600,2233,1753,1836,2192,1793,1833
9700,2223,1775,1890,2222,1767,1842
9800,2244,1798,1853,2295,1789,1862
9900,2262,1838,1878,2264,1824,1890
10000,2282,1832,1878,2327,1812,1914
