N,HybridQuickSortRandom,HybridQuickSortReverse,HybridQuickSortAlmost
500,31,68,74
600,34,81,100
700,43,98,109
800,48,115,130
900,60,142,155
1000,64,158,173
1100,70,178,197
1200,79,194,214
1300,87,213,256
1400,98,243,256
1500,108,253,277
1600,122,269,292
1700,126,287,312
1800,127,302,337
1900,130,327,373
2000,144,348,381
2100,145,367,402
2200,163,384,345
2300,165,403,440
2400,176,419,431
2500,181,447,475
2600,201,470,503
2700,201,492,526
2800,217,501,548
2900,216,519,585
3000,228,540,534
3100,237,565,621
3200,240,577,640
3300,269,599,666
3400,255,627,685
3500,284,674,709
3600,294,623,730
3700,287,678,749
3800,307,693,648
3900,319,713,800
4000,345,736,646
4100,361,742,807
4200,329,767,855
4300,343,790,888
4400,336,818,901
4500,368,834,926
4600,363,855,942
4700,374,875,990
4800,403,892,993
4900,396,918,1025
5000,393,956,1057
5100,432,987,1091
5200,420,1004,1101
5300,451,1016,966
5400,437,1045,894
5500,447,1058,1181
5600,473,1079,1066
5700,467,1065,1191
5800,481,1116,1241
5900,481,1132,1271
6000,494,1161,1321
6100,556,1171,1101
6200,521,1196,1329
6300,539,1217,1336
6400,548,1233,1375
6500,545,1256,991
6600,546,1275,1233
6700,590,1295,1488
6800,601,1314,1295
6900,635,1249,1398
7000,595,1277,1142
7100,579,1295,1440
7200,570,1319,1463
7300,579,1329,1252
7400,611,1381,1514
7500,627,1420,1640
7600,606,1438,1572
7700,643,1435,1050
7800,639,1480,1621
7900,638,1486,1655
8000,688,1508,1131
8100,686,1522,1486
8200,667,1555,1771
8300,747,1559,1401
8400,708,1590,1389
8500,692,1623,1831
8600,744,1639,1909
8700,721,1657,1871
8800,823,1674,1908
8900,732,1693,1981
9000,754,1711,1713
9100,812,1742,1590
9200,766,1750,2012
9300,755,1765,2077
9400,795,1809,1690
9500,795,1816,2113
9600,815,1907,2095
9700,795,1846,2196
9800,870,1880,2197
9900,840,1898,1629
10000,820,1912,1720
